                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9467,                 7.9294,                  2.617,                 0.0103,                0.03101,                0.01001,                0.00262,                  2.369,                 6.0442,                 2.1913,              5.383e-05,              5.383e-05,              5.383e-05
                      2,                 2.1124,                 3.8064,                 1.8535,                0.65642,                0.51126,                0.57782,                0.36899,                 1.3523,                 7.4792,                 1.3385,             0.00011506,             0.00011506,             0.00011506
                      3,                 1.3336,                 1.6755,                 1.2222,                0.78492,                0.75005,                0.79086,                 0.5493,                 1.1942,                 2.5442,                 1.1802,             0.00017599,             0.00017599,             0.00017599
                      4,                 1.1654,                 1.2766,                 1.1198,                0.87689,                0.79139,                0.90083,                0.61368,                 1.1223,                 2.0657,                 1.1431,             0.00023662,             0.00023662,             0.00023662
                      5,                 1.1005,                 1.0668,                 1.0697,                0.92862,                0.75145,                0.95548,                0.69038,                 1.0489,                 1.5779,                 1.0733,             0.00029694,             0.00029694,             0.00029694
                      6,                 1.0624,                 0.9463,                 1.0502,                0.75117,                0.86211,                0.88936,                0.64749,                 1.0309,                 1.2926,                 1.0522,             0.00035696,             0.00035696,             0.00035696
                      7,                 1.0314,                 0.8493,                 1.0191,                0.84452,                 0.9061,                0.95802,                0.69326,                 1.0334,                 1.0409,                  1.038,             0.00041667,             0.00041667,             0.00041667
                      8,                 1.0086,                0.80483,                 1.0296,                0.83318,                0.90153,                0.96235,                 0.6981,                0.96608,                0.88058,                 1.0279,             0.00047608,             0.00047608,             0.00047608
                      9,                0.98508,                0.75881,                 1.0014,                0.81966,                0.89647,                0.96516,                0.70883,                0.95691,                0.85088,                 1.0259,             0.00053518,             0.00053518,             0.00053518
                     10,                0.97616,                0.74215,                 1.0039,                 0.8676,                0.90501,                0.96495,                0.71173,                0.94185,                0.81317,                 1.0344,             0.00059398,             0.00059398,             0.00059398
                     11,                0.97481,                0.72502,                0.99522,                0.92877,                0.93783,                0.97432,                0.70769,                0.93005,                0.64961,                   1.01,             0.00065247,             0.00065247,             0.00065247
